FirstName,LastName,Historical_Win_Rate__c,Tenure_Months__c,email,External_ID__c,Account.External_ID__c
Eduard,Kitchinham,0.893,13,ekitchinhamh@netlog.com,31285581-0985-4375-955a-c8aa083183e3,1
Glynnis,Bertomier,0.676,28,gbertomieri@phoca.cz,7fa913bc-c3aa-48b6-a5a9-cb940a98c93d,1
Lesly,McLugaish,0.897,40,lmclugaishj@macromedia.com,4b840e76-ded7-4867-8468-488fb1bcdb37,1
Sibeal,Gatling,0.26,42,sgatlingk@google.nl,84446bc3-f289-4e3e-9460-6d8770045472,1
Tedmund,Gabriel,0.456,15,tgabriell@constantcontact.com,7efa9e84-9011-4762-9984-d2b5e7de32ff,1
Randell,Whyberd,0.153,2,rwhyberdm@sina.com.cn,685e4cb1-c28f-4faa-a732-497579b32eb3,1
Theodosia,Hallgalley,0.804,36,thallgalleyn@mediafire.com,8aa7eb72-d29b-4e06-8eb6-245b94e1fa6d,1
Elnore,Lebell,0.472,37,elebello@buzzfeed.com,1e034158-d133-4386-876e-15c9e3094967,1
Rosaline,Drews,0.038,5,rdrewsp@booking.com,060359e3-93d3-4f9f-98c5-fa204d2c1501,1
Anderea,Widdecombe,0.851,7,awiddecombeq@studiopress.com,77302279-f265-4033-b930-8a3f1dec56e8,1
Ronald,Ribey,0.888,48,rribeyr@state.gov,4b026491-da38-491e-9603-f5847ffc73e5,1
Hoyt,Colborn,0.051,48,hcolborns@hibu.com,45f9cb65-5fcc-445c-a59d-2d98f1e1ab72,1
Lambert,Hackworthy,0.921,27,lhackworthyt@slate.com,1016e11a-1c7c-4c1b-aa25-fdb801dcd7be,1
Sid,Tommei,0.991,20,stommeiu@google.co.uk,531d5b30-c9aa-46ed-9190-5b57a76000d1,1
Herbie,Twyford,0.056,13,htwyfordv@businessinsider.com,8a80ce54-f95a-413f-a44a-d16a7852af95,1
Oren,Portail,0.925,28,oportailw@ed.gov,108767c6-04f6-4eb0-97de-172825ba3900,1
Lucy,Semkins,0.539,14,lsemkinsx@parallels.com,a4b8e0e9-3e5d-404d-935b-4d7b043a8b69,1
Abelard,Sirey,0.796,38,asireyy@cocolog-nifty.com,fdae518c-59dc-4eed-b8fa-e283a6696df9,1
Leslie,Spurrior,0.385,33,lspurriorz@bloomberg.com,6e66a9bb-d61e-4396-aa58-b480001ee3e7,1
Dov,Tennock,0.664,8,dtennock10@merriam-webster.com,9552287d-d048-48d9-a4be-d46f6c6e1450,1
Carson,Durston,0.737,18,cdurston11@springer.com,19f9ce82-d969-467a-868d-c28d3df58623,1
Ximenez,Lulham,0.042,27,xlulham12@examiner.com,9d71caf2-8532-41d5-92f0-7d8fe8124650,1
Merilyn,Mablestone,0.268,29,mmablestone13@fema.gov,50ceab5c-4675-4694-b578-395c94a3dad6,1
Paulie,Courtois,0.707,2,pcourtois14@1und1.de,533e079e-c2cf-4537-bcbc-d92700df894a,1
Kirbie,Joffe,0.809,4,kjoffe15@pen.io,99d34644-c9ad-4931-8ab7-77d3fbc3f20f,1
Dyane,Sutehall,0.388,3,dsutehall16@loc.gov,0cc81865-cc30-4b25-bb67-10cac4e78e48,1
Olivero,Duckhouse,0.079,12,oduckhouse17@sciencedaily.com,8c3ec42a-42f8-4ec1-b167-16c3555814f3,1
Howie,Midghall,0.926,4,hmidghall18@drupal.org,4becb6cd-dc94-4ebf-86ab-fd4c7f10b188,1
Elmo,Gilleson,0.144,13,egilleson19@apache.org,f3aeb63e-9a44-42d6-a7be-c956f635b66d,1
Wynne,Bowerman,0.42,24,wbowerman1a@cbslocal.com,0f58dd22-b50a-4cd5-a628-cebd7f5cbba7,1
Jedd,Noice,0.594,34,jnoice1b@barnesandnoble.com,8698f130-ab93-466a-9def-a10d2b115b7a,1
Armando,Sharrocks,0.807,14,asharrocks1c@4shared.com,4d1c0d0b-0a58-45be-891b-98d9b140eb3e,1
Timmie,Dunsmore,0.958,17,tdunsmore1d@pbs.org,83f2fe25-3bf3-42ed-994e-a57ac27adf2d,1
